ID:K4213673
Launch Time=2015-06-06 04:26:45
    Time  AscRate  Hgt/MSL       P  Temp   RH  Dewp   Dir  Speed   VirT        Lat        Lon     MR    range    Azimuth
 min  s      m/s        m      hPa  degC    O  degC   deg    m/s      K        deg        deg   g/kg3        m       deg
   0  0      0.0      452    960.3  29.8   66  22.8   112    0.8    0.8     23.100    120.690 18.5200      0.0   292.000
   0  1    420.0      459    959.6  27.9   65  20.6   177    0.9    0.9     23.100    120.690 16.1400      0.0   165.000
   0  2    420.0      466    958.8  27.7   64  20.4   219    1.1    1.1     23.100    120.690 15.8700      0.0   163.000
   0  3    420.0      473    958.1  27.6   64  20.3   234    1.2    1.2     23.100    120.690 15.8000      0.0   160.000
   0  4    420.0      480    957.3  27.5   65  20.3   235    1.3    1.3     23.100    120.690 15.8600      0.0   156.000
   0  5    480.0      488    956.5  27.4   66  20.4   234    1.3    1.3     23.100    120.690 15.9700      0.0   152.000
   0  6    480.0      496    955.6  27.3   67  20.5   234    1.4    1.4     23.100    120.690 16.0800      0.0   150.000
   0  7    480.0      504    954.8  27.2   67  20.6   235    1.5    1.5     23.100    120.690 16.1800      0.0   144.000
   0  8    420.0      511    953.9  27.2   68  20.7   236    1.6    1.6     23.100    120.690 16.2600      0.0   135.000
   0  9    480.0      519    953.2  27.1   68  20.7   237    1.6    1.6     23.100    120.690 16.2800      0.0   131.000
   0 10    420.0      526    952.4  27.0   68  20.6   238    1.7    1.7     23.100    120.690 16.2000      0.0   131.000
   0 11    420.0      533    951.6  26.8   68  20.5   238    1.8    1.8     23.100    120.690 16.0600      0.0   129.000
   0 12    420.0      540    950.9  26.7   68  20.3   239    1.9    1.9     23.100    120.690 15.9500      0.0   124.000
   0 13    360.0      546    950.3  26.6   68  20.3   239    2.0    2.0     23.100    120.690 15.9200      0.0   122.000
   0 14    360.0      552    949.6  26.5   69  20.3   239    2.0    2.0     23.100    120.690 15.9600      0.0   122.000
   0 15    360.0      558    949.0  26.4   69  20.4   239    2.1    2.1     23.100    120.690 16.0200      0.0   119.000
   0 16    360.0      564    948.3  26.4   70  20.4   239    2.2    2.2     23.100    120.690 16.0700      0.0   108.000
   0 17    360.0      570    947.6  26.3   70  20.4   239    2.3    2.3     23.100    120.690 16.1000      0.0    98.000
   0 18    360.0      576    947.0  26.3   70  20.4   238    2.4    2.4     23.100    120.690 16.1100      0.0    92.000
   0 19    360.0      582    946.4  26.2   70  20.4   237    2.4    2.4     23.100    120.690 16.1100      0.0    87.000
   0 20    360.0      588    945.8  26.2   70  20.4   236    2.5    2.5     23.100    120.690 16.1000    100.0    82.000
   0 21    300.0      593    945.2  26.1   70  20.4   236    2.6    2.6     23.100    120.690 16.0800    100.0    79.000
   0 22    420.0      600    944.5  26.1   70  20.3   235    2.7    2.7     23.100    120.690 16.0600    100.0    78.000
   0 23    360.0      606    943.8  26.1   70  20.3   233    2.8    2.8     23.100    120.690 16.0300    100.0    77.000
   0 24    360.0      612    943.1  26.0   70  20.2   232    2.8    2.8     23.100    120.690 15.9800    100.0    75.000
   0 25    420.0      619    942.4  25.9   70  20.2   231    2.9    2.9     23.100    120.690 15.9200    100.0    74.000
   0 26    420.0      626    941.6  25.9   71  20.1   230    3.0    3.0     23.100    120.690 15.8900    100.0    74.000
   0 27    480.0      634    940.9  25.8   71  20.1   229    3.1    3.1     23.100    120.690 15.8900    100.0    72.000
   0 28    420.0      641    940.1  25.7   71  20.1   227    3.2    3.2     23.100    120.690 15.9400    100.0    70.000
   0 29    420.0      648    939.3  25.6   72  20.2   226    3.3    3.3     23.100    120.690 16.0200    100.0    68.000
   0 30    420.0      655    938.6  25.5   73  20.3   225    3.4    3.4     23.100    120.690 16.0800    100.0    68.000
   0 31    420.0      662    937.8  25.5   73  20.3   224    3.4    3.4     23.100    120.690 16.1400    100.0    70.000
   0 32    480.0      670    937.0  25.4   73  20.3   223    3.5    3.5     23.100    120.690 16.1900    100.0    71.000
   0 33    420.0      677    936.2  25.4   74  20.4   222    3.6    3.6     23.100    120.690 16.2400    100.0    70.000
   0 34    480.0      685    935.4  25.3   74  20.4   221    3.7    3.7     23.100    120.690 16.2700    100.0    68.000
   0 35    480.0      693    934.6  25.2   74  20.3   220    3.7    3.7     23.100    120.690 16.2500    100.0    66.000
   0 36    480.0      701    933.7  25.1   74  20.3   220    3.8    3.8     23.100    120.690 16.1900    100.0    64.000
   0 37    540.0      710    932.8  25.1   74  20.2   219    3.9    3.9     23.100    120.690 16.1000    100.0    62.000
   0 38    480.0      718    931.9  25.0   74  20.1   218    3.9    3.9     23.100    120.690 16.0300    100.0    60.000
   0 39    480.0      726    931.1  24.9   74  20.0   218    4.0    4.0     23.100    120.690 15.9900    100.0    58.000
   0 40    360.0      732    930.4  24.9   74  20.0   217    4.0    4.0     23.100    120.690 15.9800    100.0    58.000
   0 41    420.0      739    929.7  24.8   75  20.0   217    4.0    4.0     23.100    120.700 15.9700    100.0    59.000
   0 42    360.0      745    929.1  24.7   75  20.0   217    4.1    4.1     23.100    120.700 15.9500    100.0    58.000
   0 43    360.0      751    928.4  24.7   75  19.9   216    4.1    4.1     23.100    120.700 15.9200    100.0    56.000
   0 44    360.0      757    927.8  24.6   75  19.9   216    4.1    4.1     23.100    120.700 15.8900    100.0    54.000
   0 45    360.0      763    927.2  24.6   75  19.8   216    4.1    4.1     23.100    120.700 15.8600    100.0    54.000
   0 46    360.0      769    926.5  24.6   75  19.8   216    4.2    4.2     23.100    120.700 15.8600    100.0    54.000
   0 47    420.0      776    925.8  24.5   75  19.9   216    4.2    4.2     23.100    120.700 15.9000    200.0    55.000
   0 48    420.0      783    925.0  24.4   76  19.9   216    4.2    4.2     23.100    120.700 15.9400    200.0    55.000
   0 49    480.0      791    924.3  24.3   76  19.9   216    4.2    4.2     23.100    120.700 15.9400    200.0    54.000
   0 50    360.0      797    923.5  24.3   76  19.8   216    4.2    4.2     23.100    120.700 15.9100    200.0    52.000
   0 51    480.0      805    922.8  24.2   76  19.8   216    4.2    4.2     23.100    120.700 15.8900    200.0    51.000
   0 52    420.0      812    922.0  24.2   77  19.8   216    4.2    4.2     23.100    120.700 15.9200    200.0    50.000
   0 53    420.0      819    921.3  24.1   77  19.8   216    4.2    4.2     23.100    120.700 15.9300    200.0    50.000
   0 54    420.0      826    920.6  24.1   77  19.7   216    4.3    4.3     23.100    120.700 15.8600    200.0    51.000
   0 55    360.0      832    919.9  24.0   76  19.6   216    4.3    4.3     23.100    120.700 15.7400    200.0    51.000
   0 56    480.0      840    919.1  24.0   76  19.5   216    4.3    4.3     23.100    120.700 15.6600    200.0    50.000
   0 57    420.0      847    918.4  23.9   76  19.5   216    4.3    4.3     23.100    120.700 15.6800    200.0    49.000
   0 58    420.0      854    917.6  23.8   77  19.6   215    4.4    4.4     23.100    120.700 15.7700    200.0    49.000
   0 59    480.0      862    916.8  23.7   78  19.6   215    4.4    4.4     23.100    120.700 15.8100    200.0    50.000
   1  0    480.0      870    916.0  23.6   78  19.6   215    4.4    4.4     23.100    120.700 15.8000    200.0    50.000
   1  1    420.0      877    915.2  23.6   78  19.6   215    4.4    4.4     23.100    120.700 15.8000    200.0    50.000
   1  2    420.0      884    914.5  23.5   79  19.6   215    4.5    4.5     23.100    120.700 15.8600    200.0    49.000
   1  3    420.0      891    913.8  23.4   80  19.7   215    4.5    4.5     23.100    120.700 15.9500    200.0    48.000
   1  4    420.0      898    913.1  23.3   80  19.7   215    4.6    4.6     23.100    120.700 15.9600    200.0    48.000
   1  5    420.0      905    912.3  23.3   79  19.5   215    4.6    4.6     23.100    120.700 15.8000    200.0    48.000
   1  6    420.0      912    911.5  23.3   78  19.2   215    4.6    4.6     23.100    120.700 15.5100    200.0    48.000
   1  7    420.0      919    910.8  23.3   76  18.9   215    4.7    4.7     23.100    120.700 15.2400    200.0    47.000
   1  8    420.0      926    910.1  23.3   75  18.7   215    4.7    4.7     23.100    120.700 15.0600    200.0    47.000
   1  9    420.0      933    909.4  23.3   75  18.6   215    4.7    4.7     23.100    120.700 14.9500    200.0    47.000
   1 10    420.0      940    908.6  23.2   74  18.4   215    4.8    4.8     23.100    120.700 14.8200    200.0    47.000
   1 11    420.0      947    907.9  23.3   73  18.2   215    4.8    4.8     23.100    120.700 14.6400    200.0    47.000
   1 12    360.0      953    907.3  23.3   72  18.0   215    4.8    4.8     23.100    120.700 14.4000    300.0    47.000
   1 13    420.0      960    906.6  23.3   71  17.7   215    4.8    4.8     23.100    120.700 14.1500    300.0    46.000
   1 14    360.0      966    905.9  23.3   69  17.4   215    4.8    4.8     23.100    120.700 13.9200    300.0    46.000
   1 15    420.0      973    905.3  23.3   68  17.2   216    4.8    4.8     23.100    120.700 13.7200    300.0    46.000
   1 16    360.0      979    904.6  23.3   68  17.0   216    4.8    4.8     23.100    120.700 13.5200    300.0    46.000
   1 17    420.0      986    904.0  23.3   67  16.7   217    4.9    4.9     23.100    120.700 13.3500    300.0    45.000
   1 18    360.0      992    903.3  23.2   66  16.6   217    4.8    4.8     23.100    120.700 13.2400    300.0    45.000
   1 19    300.0      997    902.7  23.2   66  16.5   218    4.8    4.8     23.100    120.700 13.1900    300.0    44.000
   1 20    360.0     1003    902.2  23.2   66  16.5   218    4.8    4.8     23.100    120.700 13.1700    300.0    44.000
   1 21    360.0     1009    901.6  23.1   66  16.5   219    4.8    4.8     23.100    120.700 13.1500    300.0    43.000
   1 22    360.0     1015    900.9  23.1   66  16.4   219    4.8    4.8     23.100    120.700 13.1400    300.0    42.000
   1 23    360.0     1021    900.3  23.0   66  16.4   220    4.8    4.8     23.100    120.700 13.1200    300.0    42.000
   1 24    420.0     1028    899.6  22.9   67  16.4   221    4.8    4.8     23.100    120.700 13.1200    300.0    42.000
   1 25    360.0     1034    899.0  22.9   67  16.4   222    4.8    4.8     23.100    120.700 13.1200    300.0    42.000
   1 26    300.0     1039    898.4  22.8   67  16.4   222    4.8    4.8     23.100    120.700 13.1100    300.0    42.000
   1 27    360.0     1045    897.8  22.8   67  16.3   223    4.8    4.8     23.100    120.700 13.1000    300.0    43.000
   1 28    360.0     1051    897.2  22.7   67  16.3   223    4.8    4.8     23.100    120.700 13.0700    300.0    43.000
   1 29    420.0     1058    896.5  22.7   67  16.3   224    4.8    4.8     23.100    120.700 13.0400    300.0    43.000
   1 30    360.0     1064    895.8  22.6   67  16.2   225    4.7    4.7     23.100    120.700 13.0300    300.0    44.000
   1 31    420.0     1071    895.1  22.6   67  16.2   225    4.7    4.7     23.100    120.700 13.0200    300.0    44.000
   1 32    420.0     1078    894.4  22.5   67  16.2   225    4.7    4.7     23.100    120.700 13.0300    400.0    44.000
   1 33    420.0     1085    893.7  22.4   68  16.2   226    4.7    4.7     23.100    120.700 13.0500    400.0    44.000
   1 34    420.0     1092    893.0  22.4   68  16.2   226    4.7    4.7     23.100    120.700 13.0700    400.0    44.000
   1 35    360.0     1098    892.4  22.3   68  16.2   226    4.7    4.7     23.100    120.700 13.1000    400.0    45.000
   1 36    360.0     1104    891.8  22.3   69  16.3   226    4.7    4.7     23.100    120.700 13.1300    400.0    45.000
   1 37    300.0     1109    891.3  22.2   69  16.3   226    4.7    4.7     23.100    120.700 13.1800    400.0    45.000
   1 38    300.0     1114    890.7  22.2   69  16.3   226    4.7    4.7     23.100    120.700 13.2100    400.0    45.000
   1 39    420.0     1121    890.1  22.1   70  16.3   226    4.7    4.7     23.100    120.700 13.2300    400.0    46.000
   1 40    420.0     1128    889.4  22.0   70  16.3   226    4.7    4.7     23.100    120.700 13.2400    400.0    45.000
   1 41    360.0     1134    888.7  22.0   70  16.4   226    4.7    4.7     23.100    120.700 13.2700    400.0    45.000
   1 42    420.0     1141    888.0  21.9   71  16.4   226    4.7    4.7     23.100    120.700 13.3200    400.0    45.000
